èoåªéûä‘,í‚é~éûä‘,íeî≠éÀéûä‘,ãAä“éûä‘,à⁄ìÆÉpÉ^Å[Éì,Çòç¿ïW,Çôç¿ïW,ìGÇÃéÌóﬁ,íeñãÇÃéÌóﬁ,ägëÂî{ó¶,ë¨ìx,HP,ÉAÉCÉeÉÄéÌóﬁ,ìñÇΩÇËîªíËîºåa
1900,0,1980,2200,4,992,100,3,3,3,4,2,0,27
1900,0,2060,2200,4,992,100,99,3,3,4,2,0,27
1900,0,2140,2200,4,992,100,99,3,3,4,2,1,27
1900,0,1950,2200,4,992,100,99,0,3,4,2,2,27
1900,0,1960,2200,4,992,100,99,0,3,4,2,2,27
1900,0,1970,2200,4,992,100,99,0,3,4,2,1,27
1900,0,2030,2200,4,992,100,99,0,3,4,2,0,27
1900,0,2040,2200,4,992,100,99,0,3,4,2,0,27
1900,0,2050,2200,4,992,100,99,0,3,4,2,1,27
1900,0,2110,2200,4,992,100,99,0,3,4,2,2,27
1900,0,2120,2200,4,992,100,99,0,3,4,2,2,27
1900,0,2130,2200,4,992,100,99,0,3,4,2,1,27
2400,0,2480,2700,4,992,440,3,3,3,4,2,0,27
2400,0,2560,2700,4,992,440,99,3,3,4,2,0,27
2400,0,2640,2700,4,992,440,99,3,3,4,2,1,27
2400,0,2450,2700,4,992,440,99,0,3,4,2,2,27
2400,0,2460,2700,4,992,440,99,0,3,4,2,2,27
2400,0,2470,2700,4,992,440,99,0,3,4,2,1,27
2400,0,2530,2700,4,992,440,99,0,3,4,2,0,27
2400,0,2540,2700,4,992,440,99,0,3,4,2,0,27
2400,0,2550,2700,4,992,440,99,0,3,4,2,1,27
2400,0,2610,2700,4,992,440,99,0,3,4,2,2,27
2400,0,2620,2700,4,992,440,99,0,3,4,2,2,27
2400,0,2630,2700,4,992,440,99,0,3,4,2,1,27
2800,0,2820,0,1,990,130,0,4,2,3,1,2,18
2820,0,2840,0,1,990,130,0,4,2,3,1,2,18
2840,0,2860,0,1,990,130,0,4,2,3,1,2,18
2860,0,2880,0,1,990,130,0,4,2,3,2,1,18
2880,0,2900,0,1,990,130,0,4,2,3,2,1,18
2900,0,2920,0,1,990,130,0,4,2,3,2,0,18
3050,0,3070,0,1,990,270,0,4,2,3,1,2,18
3070,0,3090,0,1,990,270,0,4,2,3,1,2,18
3090,0,3110,0,1,990,270,0,4,2,3,1,2,18
3110,0,3130,0,1,990,270,0,4,2,3,2,1,18
3130,0,3150,0,1,990,270,0,4,2,3,2,1,18
3150,0,3170,0,1,990,270,0,4,2,3,2,0,18
3300,0,3320,0,1,990,410,0,4,2,3,2,1,18
3320,0,3340,0,1,990,410,0,4,2,3,2,1,18
3340,0,3360,0,1,990,410,0,4,2,3,2,1,18
3360,0,3380,0,1,990,410,0,4,2,3,2,1,18
3380,0,3400,0,1,990,410,0,4,2,3,2,1,18
3400,0,3420,0,1,990,410,0,4,2,3,3,0,18
3700,0,3740,0,2,740,-30,2,5,2,3,1,2,18
3730,0,3770,0,2,740,-30,2,5,2,3,1,2,18
3760,0,3800,0,2,740,-30,2,5,2,3,1,2,18
3790,0,3830,0,2,740,-30,2,5,2,3,1,2,18
3700,0,3740,0,3,740,570,2,5,2,3,1,2,18
3730,0,3770,0,3,740,570,2,5,2,3,1,2,18
3760,0,3800,0,3,740,570,2,5,2,3,1,2,18
3790,0,3830,0,3,740,570,2,5,2,3,1,2,18
3700,0,3750,4000,4,990,200,3,6,3,4,10,0,27
3700,0,3750,4000,4,990,340,3,6,3,4,10,0,27
4200,0,4240,0,8,770,-32,2,2,2,2,3,2,18
4220,0,4260,0,8,770,-32,1,2,2,2,3,1,18
4240,0,4280,0,8,770,-32,2,2,2,2,3,2,18
4260,0,4300,0,8,770,-32,0,2,2,2,3,0,18
4280,0,4320,0,8,770,-32,2,2,2,2,3,2,18
4300,0,4340,0,8,770,-32,1,2,2,2,3,1,18
4320,0,4360,0,8,770,-32,2,2,2,2,3,2,18
4340,0,4380,0,8,770,-32,0,2,2,2,3,0,18
4200,0,4240,0,9,770,572,2,2,2,2,3,2,18
4220,0,4260,0,9,770,572,1,2,2,2,3,1,18
4240,0,4280,0,9,770,572,2,2,2,2,3,2,18
4260,0,4300,0,9,770,572,0,2,2,2,3,0,18
4280,0,4320,0,9,770,572,2,2,2,2,3,2,18
4300,0,4340,0,9,770,572,1,2,2,2,3,1,18
4320,0,4360,0,9,770,572,2,2,2,2,3,2,18
4340,0,4380,0,9,770,572,0,2,2,2,3,0,18
4550,0,4590,0,8,770,-32,2,2,2,4,2,2,18
4570,0,4610,0,8,770,-32,1,2,2,4,2,1,18
4590,0,4630,0,8,770,-32,2,2,2,4,2,2,18
4610,0,4650,0,8,770,-32,0,2,2,4,2,0,18
4630,0,4670,0,8,770,-32,2,2,2,4,2,2,18
4650,0,4690,0,8,770,-32,1,2,2,4,2,1,18
4670,0,4710,0,8,770,-32,2,2,2,4,2,2,18
4690,0,4730,0,8,770,-32,0,2,2,4,2,0,18
4550,0,4590,0,9,770,572,2,2,2,4,2,2,18
4570,0,4610,0,9,770,572,1,2,2,4,2,1,18
4590,0,4630,0,9,770,572,2,2,2,4,2,2,18
4610,0,4650,0,9,770,572,0,2,2,4,2,0,18
4630,0,4670,0,9,770,572,2,2,2,4,2,2,18
4650,0,4690,0,9,770,572,1,2,2,4,2,1,18
4670,0,4710,0,9,770,572,2,2,2,4,2,2,18
4690,0,4730,0,9,770,572,0,2,2,4,2,0,18
4900,0,0,0,6,992,440,1,7,2,4,2,1,18
4930,0,0,0,6,992,440,1,7,2,4,2,1,18
4960,0,0,0,6,992,440,1,7,2,4,2,1,18
4990,0,0,0,6,992,440,1,7,2,4,2,1,18
5020,0,0,0,6,992,440,1,7,2,4,2,1,18
5050,0,0,0,6,992,440,1,7,2,4,2,1,18
5080,0,0,0,6,992,440,1,7,2,4,2,1,18
5110,0,0,0,6,992,440,1,7,2,4,2,1,18
5140,0,0,0,5,992,100,0,7,2,4,2,0,18
5170,0,0,0,5,992,100,0,7,2,4,2,0,18
5200,0,0,0,5,992,100,0,7,2,4,2,0,18
5230,0,0,0,5,992,100,0,7,2,4,2,0,18
5260,0,0,0,5,992,100,0,7,2,4,2,0,18
5290,0,0,0,5,992,100,0,7,2,4,2,0,18
5320,0,0,0,5,992,100,0,7,2,4,2,0,18
5350,0,0,0,5,992,100,0,7,2,4,2,0,18
5600,0,5680,6000,4,992,100,3,3,3,4,4,0,27
5600,0,5760,6000,4,992,100,99,3,3,4,4,0,27
5600,0,5840,6000,4,992,100,99,3,3,4,4,1,27
5600,0,5650,6000,4,992,100,99,0,3,4,4,2,27
5600,0,5660,6000,4,992,100,99,0,3,4,4,2,27
5600,0,5670,6000,4,992,100,99,0,3,4,4,1,27
5600,0,5730,6000,4,992,100,99,0,3,4,4,0,27
5600,0,5740,6000,4,992,100,99,0,3,4,4,0,27
5600,0,5750,6000,4,992,100,99,0,3,4,4,1,27
5600,0,5810,6000,4,992,100,99,0,3,4,4,2,27
5600,0,5820,6000,4,992,100,99,0,3,4,4,2,27
5600,0,5830,6000,4,992,100,99,0,3,4,4,1,27
5600,0,5680,6000,4,992,440,3,3,3,4,4,0,27
5600,0,5760,6000,4,992,440,99,3,3,4,4,0,27
5600,0,5840,6000,4,992,440,99,3,3,4,4,1,27
5600,0,5650,6000,4,992,440,99,0,3,4,4,2,27
5600,0,5660,6000,4,992,440,99,0,3,4,4,2,27
5600,0,5670,6000,4,992,440,99,0,3,4,4,1,27
5600,0,5730,6000,4,992,440,99,0,3,4,4,0,27
5600,0,5740,6000,4,992,440,99,0,3,4,4,0,27
5600,0,5750,6000,4,992,440,99,0,3,4,4,1,27
5600,0,5810,6000,4,992,440,99,0,3,4,4,2,27
5600,0,5820,6000,4,992,440,99,0,3,4,4,2,27
5600,0,5830,6000,4,992,440,99,0,3,4,4,1,27
5950,0,5990,0,2,740,-30,2,5,2,3,3,2,18
5980,0,6030,0,2,740,-30,2,5,2,3,3,2,18
6010,0,6070,0,2,740,-30,2,5,2,3,3,2,18
6040,0,6110,0,2,740,-30,2,5,2,3,3,2,18
5950,0,6150,0,3,740,570,2,5,2,3,3,2,18
5980,0,6190,0,3,740,570,2,5,2,3,3,2,18
6010,0,6230,0,3,740,570,2,5,2,3,3,2,18
6040,0,6270,0,3,740,570,2,5,2,3,3,2,18
5950,0,6000,6600,4,990,200,3,6,3,4,15,0,27
5950,0,6000,6600,4,990,340,3,6,3,4,15,0,27
